winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
ghost,none,Astonish,Dynamic Punch,Shadow Punch,ghost,fighting,ghost,477,119.8,172.9,90,91.1,rock,water,Mud Shot,Aqua Jet,Rock Tomb,ground,water,rock,140,133.6,128.6,97,73.3
water,bug,Bug Bite,Water Pulse,Bubble Beam,bug,water,water,752,97.9,176.1,133,88.6,water,none,Water Gun,Aqua Jet,Swift,water,water,normal,419,143.8,81.1,133,69.3
water,rock,Bubble,Power Gem,Rock Blast,ghost,ghost,rock,222,109.3,141.6,133,72.0,poison,water,Poison Jab,Brine,Sludge Wave,poison,water,poison,748,92.3,222.0,118,88.1
ghost,grass,Astonish,Grass Knot,Foul Play,ghost,grass,dark,710,111.8,113.4,141,80.8,fairy,none,Zen Headbutt,Disarming Voice,Swift,psychic,fairy,normal,35,102.5,103.4,157,39.5
fire,steel,Fire Spin,Magma Storm,Stone Edge,fire,fire,rock,485,131.9,116.4,110,75.7,normal,none,Shadow Claw,Aerial Ace,Thunder,ghost,flying,electric,432,125.5,105.5,133,72.4
normal,none,Lick,Body Slam,Power Whip,ghost,normal,grass,108,98.3,126.9,183,86.8,ghost,none,Lick,Psychic Fangs,Shadow Ball,ghost,psychic,ghost,972,121.0,131.2,117,74.2
psychic,none,Confusion,Psyshock,Energy Ball,psychic,psychic,grass,677,113.4,108.4,145,63.5,water,ice,Psywave,Sparkling Aria,Ice Beam,psychic,water,ice,131,104.7,114.0,179,93.0
grass,poison,Acid,Leaf Blade,Sludge Bomb,poison,grass,poison,71,135.8,94.8,128,86.7,psychic,none,Counter,Psycho Boost,Thunderbolt,fighting,psychic,electric,386,101.0,221.5,98,75.5
fire,flying,Ember,Fly,Aerial Ace,fire,flying,flying,662,123.0,103.2,142,80.7,grass,steel,Razor Leaf,Leaf Blade,Night Slash,grass,grass,dark,798,170.7,98.8,78,68.2
electric,flying,Air Slash,Air Cutter,Aerial Ace,flying,flying,flying,741,130.9,101.4,128,66.2,grass,none,Vine Whip,Body Slam,Energy Ball,grass,normal,grass,651,115.4,130.0,129,74.1
dragon,psychic,Dragon Breath,Dragon Claw,Luster Purge,dragon,dragon,psychic,381,138.4,112.9,103,70.9,normal,none,Yawn,Body Slam,Earthquake,normal,normal,ground,289,139.3,83.6,138,20.2
fairy,steel,Fairy Wind,Play Rough,Bulldoze,fairy,fairy,ground,959,107.3,136.3,143,88.3,psychic,flying,Air Slash,Aerial Ace,Future Sight,flying,flying,psychic,178,132.9,107.3,118,56.0
dark,none,Snarl,Brutal Swing,Megahorn,dark,dark,bug,359,157.9,82.7,109,63.9,psychic,none,Confusion,Rock Slide,Future Sight,psychic,rock,psychic,576,116.6,137.3,120,61.7
bug,steel,Bug Bite,X-Scissor,Stone Edge,bug,bug,rock,632,135.9,121.2,100,72.8,ground,none,Sand Attack,Scorching Sands,Crunch,ground,ground,dark,328,148.7,78.1,120,61.6
steel,none,Thunder Shock,Thunderbolt,Flash Cannon,electric,electric,steel,808,111.8,95.8,121,51.0,water,none,Dragon Breath,Hydro Pump,Blizzard,dragon,water,ice,117,132.6,114.5,111,53.8
rock,ground,Mud Slap,Stone Edge,Rock Blast,rock,electric,rock,76,125.2,121.7,117,74.4,normal,flying,Wing Attack,Brave Bird,Fly,flying,flying,flying,627,126.3,91.1,153,72.5
rock,flying,Quick Attack,Ancient Power,Dragon Claw,normal,rock,dragon,566,160.1,76.0,115,62.0,normal,none,Lock On,Tri Attack,Zap Cannon,normal,normal,electric,474,148.7,88.4,115,52.5
water,none,Water Gun,Surf,Water Pulse,water,water,water,817,137.9,91.4,128,58.9,normal,flying,Air Slash,Sky Attack,Hyper Beam,flying,flying,normal,521,139.2,96.2,120,48.6
normal,none,Shadow Claw,Aerial Ace,Thunder,ghost,flying,electric,432,125.5,105.5,133,72.4,water,none,Water Gun,Aqua Tail,Icy Wind,water,water,ice,86,84.0,114.3,149,63.9
normal,flying,Gust,Air Cutter,Brave Bird,flying,flying,flying,18,117.2,113.8,143,79.0,normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5
electric,grass,Thunder Shock,Wild Charge,Swift,electric,electric,normal,101,123.3,130.1,113,84.3,grass,none,Rock Smash,Rock Slide,Seed Bomb,fighting,rock,grass,672,116.0,98.3,151,41.0
grass,poison,Astonish,Grass Knot,Foul Play,ghost,grass,dark,591,110.4,102.0,181,83.9,bug,water,Fury Cutter,X-Scissor,Aqua Jet,bug,bug,water,768,125.2,133.6,107,91.9
rock,none,Mud Slap,Rock Slide,Bulldoze,ground,rock,ground,525,123.3,110.7,131,64.2,ghost,fire,Incinerate,Flame Charge,Shadow Ball,fire,fire,ghost,609,151.4,106.9,91,67.4
psychic,fairy,Psywave,Shadow Ball,Psychic,psychic,ghost,psychic,122,132.2,145.7,88,66.6,normal,none,Tackle,Trailblaze,Horn Attack,fighting,water,grass,128,125.1,118.9,120,66.4
steel,flying,Steel Wing,Brave Bird,Sky Attack,steel,flying,flying,227,106.2,163.1,122,82.9,water,fairy,Bubble,Ice Beam,Play Rough,water,ice,fairy,184,93.7,134.1,190,88.9
bug,flying,Air Slash,Air Cutter,Lunge,flying,flying,bug,284,130.3,107.8,122,63.4,fighting,fire,Double Kick,Flame Charge,Trailblaze,fighting,fire,grass,128,127.8,123.1,111,72.9
ice,none,Ice Fang,Avalanche,Superpower,ice,ice,fighting,555,151.3,71.4,137,62.7,fighting,none,Low Kick,Rock Tomb,Brick Break,fighting,rock,fighting,532,125.2,85.7,164,48.2
fighting,none,Tackle,Body Slam,Crunch,normal,normal,dark,674,123.3,100.2,147,57.9,normal,none,Fury Cutter,Close Combat,Night Slash,bug,fighting,dark,335,144.8,87.1,122,78.2
rock,psychic,Psywave,Rock Slide,Psychic,psychic,rock,psychic,338,119.8,108.8,143,74.2,ghost,grass,Shadow Claw,Power Whip,Wrap,ghost,grass,normal,781,139.8,109.3,105,75.2
ice,water,Powder Snow,Icicle Spear,Earthquake,ice,ice,ground,365,113.1,114.3,153,83.6,ice,ground,Powder Snow,Icicle Spear,High Horsepower,ice,ice,ground,221,121.1,98.2,155,82.1
water,ground,Mud Shot,Hydro Cannon,Sludge,ground,water,poison,260,123.0,108.6,136,86.4,fairy,steel,Fairy Wind,Play Rough,Bulldoze,fairy,fairy,ground,959,107.3,136.3,143,88.3
fighting,none,Counter,Close Combat,Triple Axel,fighting,fighting,ice,237,121.7,151.3,100,74.5,steel,psychic,Bullet Punch,Meteor Mash,Earthquake,steel,steel,ground,376,132.8,123.6,102,66.2
normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1,water,psychic,Water Gun,Surf,Psychic,poison,water,ghost,199,113.4,120.9,143,67.2
grass,fighting,Force Palm,Dynamic Punch,Grass Knot,fighting,fighting,grass,286,150.6,97.3,101,66.4,grass,flying,Magical Leaf,Grass Knot,Energy Ball,grass,grass,grass,492,138.1,93.6,124,55.7
fairy,none,Charm,Thunderbolt,Draining Kiss,fairy,electric,fairy,682,105.0,107.6,168,76.5,water,flying,Dragon Breath,Aqua Tail,Crunch,dragon,water,dark,130,130.8,108.0,121,79.7
electric,none,Sucker Punch,Zap Cannon,Parabolic Charge,dark,electric,electric,939,115.1,107.7,156,88.7,dark,flying,Sucker Punch,Fly,Brave Bird,dark,flying,flying,146,115.1,137.5,122,88.6
fighting,none,Counter,Ice Punch,Thunder Punch,fighting,ice,electric,107,128.2,137.3,98,69.8,rock,steel,Smack Down,Stone Edge,Flamethrower,rock,rock,fire,411,81.1,246.7,138,89.2
fighting,flying,Poison Jab,Flying Press,Aerial Ace,poison,fighting,flying,701,128.9,108.8,124,78.9,psychic,none,Hidden Power (Fighting),Psyshock,Shadow Ball,fighting,psychic,ghost,579,127.6,93.7,147,51.1
normal,none,Sucker Punch,Swift,Trailblaze,dark,normal,grass,162,116.1,105.4,158,89.5,electric,none,Thunder Shock,Wild Charge,Shadow Ball,electric,electric,ghost,243,130.9,110.1,118,79.4
dragon,flying,Dragon Tail,Fly,Outrage,dragon,flying,dragon,373,142.9,92.6,117,69.9,fire,none,Ember,Body Slam,Flamethrower,fire,normal,fire,58,126.9,90.8,135,69.6
ground,none,Tackle,Trailblaze,Body Slam,normal,grass,normal,231,102.5,95.0,186,61.5,normal,none,Bite,Stomp,Disarming Voice,dark,normal,fairy,294,125.2,80.7,178,59.5
rock,none,Counter,Meteor Beam,Trailblaze,fighting,rock,grass,185,117.2,130.1,125,64.9,rock,ground,Bite,Ancient Power,Dig,dark,rock,ground,247,121.1,112.7,136,55.5
normal,none,Tackle,Trailblaze,Horn Attack,fighting,water,grass,128,125.1,118.9,120,66.4,normal,none,Tackle,Wild Charge,Stomp,normal,electric,normal,234,132.8,98.1,129,61.1
fire,bug,Ember,Lunge,Crunch,fire,bug,dark,851,129.3,98.3,136,76.8,bug,flying,Fury Cutter,Aerial Ace,Night Slash,bug,flying,dark,123,134.9,110.7,111,79.5
normal,fairy,Charm,Icy Wind,Swift,fairy,ice,normal,40,115.8,75.5,220,85.7,normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5
poison,ground,Poison Sting,Earthquake,Stone Edge,poison,ground,rock,980,94.2,119.4,209,92.1,steel,rock,Metal Sound,Rock Tomb,Body Slam,steel,rock,normal,305,114.5,142.8,120,84.9
psychic,flying,Confusion,Fly,Psychic Fangs,psychic,flying,psychic,528,126.9,100.9,138,73.1,grass,none,Vine Whip,Body Slam,Seed Bomb,grass,normal,grass,650,105.0,101.7,136,59.0
poison,dark,Poison Jab,Crunch,Sludge Bomb,poison,dark,poison,88,123.6,86.0,171,76.2,fairy,flying,Charm,Psyshock,Aura Sphere,fairy,psychic,fighting,468,124.8,125.3,114,75.9
water,ghost,Hex,Night Shade,Ice Beam,ghost,ghost,ice,592,109.2,125.2,135,78.8,grass,fairy,Fairy Wind,Seed Bomb,Moonblast,fairy,grass,fairy,547,118.4,133.1,119,81.3
ghost,dark,Sucker Punch,Rock Tomb,Shadow Ball,dark,rock,ghost,442,121.2,146.4,104,85.0,dragon,ground,Mud Shot,Dig,Flamethrower,ground,ground,fire,444,128.8,101.0,133,64.1
fire,none,Incinerate,Blast Burn,Thunder Punch,fire,fire,electric,157,132.2,108.3,117,80.6,grass,none,Vine Whip,Body Slam,Seed Bomb,grass,normal,grass,650,105.0,101.7,136,59.0
dark,dragon,Dragon Tail,Brutal Swing,Sludge Bomb,dragon,dark,poison,799,113.3,65.5,266,86.3,electric,flying,Thunder Shock,Acrobatics,Discharge,electric,flying,electric,587,127.9,111.4,123,89.3
normal,none,Sucker Punch,Rock Tomb,Icy Wind,dark,rock,ice,327,110.1,110.1,142,81.7,ground,none,Mud Slap,Mud Bomb,Stone Edge,ground,ground,rock,51,136.4,120.5,99,76.4
normal,none,Tackle,Body Slam,Trailblaze,normal,normal,grass,916,118.1,102.8,156,73.2,water,none,Bubble,Razor Shell,Water Pulse,water,water,water,98,148.1,110.4,92,58.2
ghost,grass,Hex,Shadow Ball,Seed Bomb,ghost,ghost,grass,711,115.8,128.8,130,82.0,ground,rock,Mud Slap,Bulldoze,Stomp,ground,ground,normal,111,113.4,110.2,158,72.8
rock,none,Counter,Meteor Beam,Trailblaze,fighting,rock,grass,185,117.2,130.1,125,64.9,ghost,none,Hex,Shadow Ball,Dark Pulse,ghost,ghost,dark,855,144.5,114.5,94,64.0
fire,ghost,Ember,Fire Punch,Wild Charge,fire,fire,electric,157,139.6,105.1,109,77.3,fire,none,Incinerate,Rock Slide,Overheat,fire,rock,fire,555,151.3,71.4,137,69.5
ground,ghost,Shadow Claw,Rock Tomb,Shadow Ball,ghost,rock,ghost,867,112.2,168.3,106,89.2,water,psychic,Confusion,Aqua Tail,Psychic Fangs,psychic,water,psychic,779,137.3,100.4,118,74.4
dragon,flying,Dragon Tail,Breaking Swipe,Dragon Ascent,psychic,water,psychic,384,146.5,92.0,113,72.9,grass,dragon,Astonish,Outrage,Seed Bomb,ghost,rock,ghost,842,117.2,100.8,162,67.9
fire,none,Incinerate,Flame Charge,Wild Charge,psychic,water,psychic,78,134.7,110.9,111,77.9,fire,rock,Fire Fang,Wild Charge,Rock Slide,ghost,rock,ghost,59,132.4,100.0,127,66.0
dragon,flying,Dragon Breath,Sky Attack,Moonblast,psychic,water,psychic,334,103.4,153.3,136,81.7,fire,none,Fire Spin,Flame Charge,Flamethrower,ghost,rock,ghost,814,130.0,102.1,130,67.0
rock,flying,Rock Throw,Rock Slide,Earth Power,psychic,water,psychic,142,135.0,103.9,118,65.3,grass,fighting,Force Palm,Dynamic Punch,Grass Knot,ghost,rock,ghost,286,150.6,97.3,101,66.4
electric,dark,Thunder Shock,Aura Wheel,Psychic Fangs,psychic,water,psychic,877,141.7,97.8,114,90.1,psychic,fire,Quick Attack,V-Create,Psychic,ghost,rock,ghost,494,120.5,119.4,129,73.4
normal,flying,Steel Wing,Brave Bird,Drill Peck,psychic,water,psychic,85,144.4,99.1,108,58.5,water,none,Ice Fang,Bubble Beam,Scald,ghost,rock,ghost,245,107.4,141.9,137,81.1
normal,none,Sucker Punch,Swift,Trailblaze,psychic,water,psychic,162,116.1,105.4,158,89.5,bug,flying,Infestation,Air Cutter,Silver Wind,ghost,rock,ghost,267,146.4,81.9,128,59.7
ghost,grass,Hex,Shadow Ball,Seed Bomb,psychic,water,psychic,711,115.8,128.8,130,82.0,rock,flying,Rock Throw,Rock Slide,Earth Power,ghost,rock,ghost,142,135.0,103.9,118,65.3
ground,ghost,Mud Slap,Shadow Punch,Brick Break,psychic,water,psychic,622,119.3,89.9,141,78.8,bug,poison,Poison Sting,X-Scissor,Megahorn,ghost,rock,ghost,545,132.6,121.1,105,74.5
normal,none,Hex,Weather Ball (Rock),Energy Ball,psychic,water,psychic,351,113.4,119.6,146,80.6,ice,none,Powder Snow,Avalanche,Body Slam,ghost,rock,ghost,974,112.6,79.8,213,81.3
dragon,fighting,Dragon Tail,Dragon Claw,Brick Break,psychic,water,psychic,783,115.5,134.8,124,85.7,normal,water,Rollout,Surf,Hyper Fang,ghost,rock,ghost,400,124.2,97.7,149,77.1
psychic,none,Confusion,Dark Pulse,Psychic,psychic,water,psychic,605,134.0,94.7,132,54.6,ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,ghost,rock,ghost,94,156.6,94.3,97,80.7
water,none,Water Gun,Water Pulse,Psychic,psychic,water,psychic,368,136.9,118.5,101,54.4,normal,none,Feint Attack,Night Slash,Power Gem,ghost,rock,ghost,53,118.9,115.9,136,61.3
ice,water,Powder Snow,Icicle Spear,Earthquake,psychic,water,psychic,365,113.1,114.3,153,83.6,water,none,Bubble,Drill Peck,Icy Wind,ghost,rock,ghost,393,106.7,98.3,131,56.6
fighting,ice,Bubble,Ice Punch,Brick Break,psychic,water,psychic,740,136.8,87.9,135,60.5,water,fairy,Water Gun,Surf,Nature's Madness,ghost,rock,ghost,788,115.3,155.3,108,77.9
ghost,grass,Astonish,Grass Knot,Foul Play,water,ice,fighting,710,113.4,115.1,133,78.7,fire,none,Fire Spin,Flamethrower,Flame Charge,ghost,rock,ghost,815,139.0,102.3,113,63.6
bug,steel,Bug Bite,Sand Tomb,Rock Tomb,water,ice,fighting,205,110.2,141.6,130,93.6,normal,none,Tackle,Body Slam,Trailblaze,ghost,rock,ghost,916,110.9,110.3,166,78.7
flying,steel,Sand Attack,Sky Attack,Iron Head,water,ice,fighting,823,107.6,128.1,151,91.6,bug,flying,Fury Cutter,Aerial Ace,Night Slash,ghost,rock,ghost,123,134.9,110.7,111,79.5
fire,fighting,Ember,Flamethrower,Low Sweep,water,ice,fighting,391,129.6,95.4,139,68.8,normal,none,Hex,Weather Ball (Rock),Energy Ball,ghost,rock,ghost,351,113.4,119.6,146,80.6
ghost,none,Lick,Psychic Fangs,Shadow Ball,water,ice,fighting,972,121.0,131.2,117,74.2,electric,poison,Acid,Wild Charge,Power-Up Punch,ghost,rock,ghost,849,140.8,94.3,119,83.5
fighting,none,Bubble,Crabhammer,Power-Up Punch,water,ice,fighting,739,135.7,99.1,122,59.6,fire,fighting,Fire Spin,Blaze Kick,Blast Burn,ghost,rock,ghost,257,144.4,90.8,118,72.2
normal,none,Astonish,Swift,Aerial Ace,water,water,fighting,190,126.1,105.2,134,73.6,steel,poison,Metal Sound,Overheat,Gyro Ball,ghost,rock,ghost,966,135.7,106.6,114,63.4
water,electric,Water Gun,Surf,Thunderbolt,water,water,fighting,171,104.8,104.8,194,85.1,ghost,none,Hex,Shadow Ball,Dark Pulse,ghost,rock,ghost,429,133.8,120.8,104,68.2
fairy,none,Tackle,Energy Ball,Draining Kiss,water,water,fighting,684,104.2,112.6,145,50.5,rock,none,Lock On,Stone Edge,Focus Blast,ghost,rock,ghost,377,103.7,180.2,115,84.8
dragon,psychic,Dragon Breath,Mist Ball,Thunder,water,water,fighting,380,124.5,137.9,105,64.0,rock,ground,Mud Slap,Stone Edge,Rock Blast,ghost,rock,ghost,76,125.2,121.7,117,74.4
water,none,Fury Cutter,Aqua Tail,X-Scissor,bug,water,bug,502,123.8,99.4,147,86.1,ice,none,Powder Snow,Avalanche,Body Slam,ghost,rock,ghost,974,112.6,79.8,213,81.3
electric,water,Thunder Shock,Thunderbolt,Hydro Pump,bug,water,bug,479,129.2,143.2,93,64.3,ghost,poison,Shadow Claw,Shadow Punch,Ice Punch,ghost,rock,ghost,93,161.2,85.5,100,80.3
grass,none,Bullet Seed,Sludge Bomb,Leaf Storm,bug,water,bug,192,128.7,102.2,131,60.3,poison,bug,Poison Sting,Aqua Tail,Cross Poison,ghost,rock,ghost,451,90.8,139.5,113,61.7
fairy,flying,Charm,Psyshock,Aura Sphere,grass,poison,grass,468,124.8,125.3,114,75.9,dragon,ice,Dragon Breath,Avalanche,Dragon Claw,ghost,rock,ghost,997,123.1,97.7,151,82.5
water,dark,Water Shuriken,Hydro Cannon,Night Slash,grass,poison,grass,658,139.6,101.6,113,86.3,ground,flying,Mud Shot,Earth Power,Rock Slide,ghost,rock,ghost,645,139.9,100.5,114,70.2
ground,flying,Mud Shot,Earth Power,Rock Slide,grass,poison,grass,645,139.9,100.5,114,70.2,ghost,grass,Astonish,Grass Knot,Foul Play,ghost,rock,ghost,710,115.1,116.8,119,74.3
electric,steel,Volt Switch,Magnet Bomb,Discharge,grass,poison,grass,81,148.7,113.4,89,75.9,poison,none,Acid,Dark Pulse,Sludge Wave,ghost,rock,ghost,24,123.7,120.1,121,69.6
psychic,none,Confusion,Psyshock,Return,grass,poison,grass,96,87.4,126.9,142,55.2,ghost,grass,Astonish,Grass Knot,Foul Play,poison,dark,poison,710,111.8,113.4,141,80.8
psychic,none,Charge Beam,Psycho Boost,Swift,grass,poison,grass,386,140.8,131.6,86,47.8,fairy,flying,Fairy Wind,Psyshock,Dazzling Gleam,poison,dark,poison,176,110.6,150.0,122,88.0
water,steel,Metal Claw,Hydro Cannon,Drill Peck,grass,poison,grass,395,125.8,115.9,122,80.1,normal,none,Mud Shot,Stomp,Megahorn,poison,dark,poison,626,118.9,115.9,136,68.8
ice,none,Ice Fang,Ice Punch,Ice Beam,grass,poison,grass,554,132.0,83.5,154,68.2,normal,none,Sucker Punch,Swift,Trailblaze,poison,dark,poison,162,116.1,105.4,158,89.5
poison,none,Infestation,Body Slam,Seed Bomb,grass,poison,grass,569,121.7,114.6,132,57.1,ice,none,Ice Shard,Triple Axel,Night Slash,poison,dark,poison,615,116.5,136.2,121,73.3
psychic,none,Confusion,Dark Pulse,Psychic,psychic,dark,psychic,605,134.0,94.7,132,54.6,bug,dark,Sucker Punch,X-Scissor,Trailblaze,dark,bug,grass,920,132.9,104.1,121,80.5
dragon,ground,Dragon Tail,Sand Tomb,Outrage,dragon,ground,dragon,445,132.5,102.5,124,67.0,rock,water,Mud Shot,Rock Slide,Hydro Pump,ground,rock,water,139,126.1,128.4,109,61.2
normal,flying,Steel Wing,Brave Bird,Drill Peck,steel,flying,flying,85,144.4,99.1,108,58.5,fairy,none,Fairy Wind,Moonblast,Trailblaze,fairy,fairy,grass,671,120.1,142.1,109,83.4
bug,electric,Volt Switch,X-Scissor,Discharge,electric,bug,electric,737,116.1,132.4,126,82.3,bug,rock,Fury Cutter,X-Scissor,Stone Edge,bug,bug,rock,900,144.2,105.1,102,77.1
water,ghost,Hex,Surf,Shadow Ball,ghost,water,ghost,593,106.7,124.3,157,92.8,dragon,flying,Dragon Tail,Fly,Outrage,dragon,flying,dragon,373,142.9,92.6,117,69.9
normal,flying,Steel Wing,Sky Attack,Night Shade,steel,flying,ghost,441,140.4,78.4,145,51.6,normal,none,Zen Headbutt,Wild Charge,Dazzling Gleam,psychic,electric,fairy,242,81.4,110.2,307,66.3
dragon,flying,Dragon Breath,Dragon Claw,Superpower,dragon,dragon,fighting,149,135.8,108.4,111,82.7,water,none,Water Gun,Aqua Tail,Aqua Jet,water,water,water,728,113.4,99.2,127,63.3
water,none,Bubble,Aqua Jet,Razor Shell,water,water,water,341,131.1,95.8,117,61.4,electric,steel,Volt Switch,Wild Charge,Mirror Shot,electric,electric,steel,462,134.9,120.1,102,83.4
rock,none,Counter,Stone Edge,Psychic Fangs,fighting,rock,psychic,745,134.3,101.0,123,63.6,ghost,grass,Hex,Shadow Ball,Seed Bomb,ghost,ghost,grass,711,116.6,147.0,112,80.6
normal,none,Shadow Claw,Aerial Ace,Thunder,ghost,flying,electric,432,125.5,105.5,133,72.4,water,fighting,Counter,Scald,Icy Wind,fighting,water,ice,62,116.5,119.7,138,79.8
steel,flying,Air Slash,Body Slam,Iron Head,flying,normal,steel,797,119.6,119.0,131,76.7,dark,normal,Snarl,Body Slam,Dig,dark,normal,ground,264,114.6,112.2,152,68.9
psychic,grass,Magical Leaf,Seed Bomb,Leaf Storm,grass,grass,grass,251,120.5,119.4,129,61.7,dark,none,Snarl,Dark Pulse,Last Resort,dark,dark,normal,197,90.2,177.0,155,82.0
rock,flying,Quick Attack,Ancient Power,Dragon Claw,normal,rock,dragon,566,160.1,76.0,115,62.0,dark,poison,Poison Jab,Aqua Tail,Shadow Ball,poison,water,ghost,904,131.6,106.6,121,80.7
ghost,ground,Astonish,Scorching Sands,Shadow Ball,ghost,ground,ghost,770,116.6,120.4,136,75.6,grass,normal,Magical Leaf,Earth Power,Trailblaze,grass,ground,grass,929,119.3,121.8,129,71.8
fighting,none,Karate Chop,Cross Chop,Return,fighting,fighting,normal,56,137.0,81.5,113,67.0,poison,fire,Incinerate,Poison Fang,Dragon Pulse,fire,poison,dragon,758,146.6,90.9,114,81.9
water,none,Fury Cutter,Hydro Cannon,Megahorn,bug,water,bug,503,129.0,102.2,132,92.3,normal,grass,Tackle,Wild Charge,Trailblaze,normal,electric,grass,585,109.2,96.6,142,55.7
water,none,Lock On,Octazooka,Gunk Shot,normal,water,poison,224,132.9,103.2,123,56.0,fire,ghost,Incinerate,Torch Song,Shadow Ball,fire,fire,ghost,911,121.2,109.2,139,84.5
bug,dark,Sucker Punch,X-Scissor,Trailblaze,dark,bug,grass,920,132.9,104.1,121,80.5,psychic,none,Psycho Cut,Fire Punch,Shadow Ball,psychic,fire,ghost,65,157.0,103.1,88,58.5
psychic,flying,Dragon Tail,Fly,Aeroblast,dragon,flying,flying,249,102.4,165.0,129,74.5,water,none,Water Gun,Crabhammer,Ice Beam,water,water,ice,693,134.4,110.5,111,55.7
dark,fighting,Counter,Foul Play,Thunder Punch,fighting,dark,electric,560,110.4,155.4,117,79.7,normal,none,Tackle,Body Slam,Trailblaze,normal,normal,grass,916,118.1,102.8,156,73.2
electric,steel,Volt Switch,Magnet Bomb,Discharge,electric,steel,electric,81,148.7,113.4,89,75.9,psychic,none,Psycho Cut,Fire Punch,Shadow Ball,psychic,fire,ghost,65,157.0,103.1,88,58.5
grass,fighting,Vine Whip,Frenzy Plant,Superpower,grass,grass,fighting,652,119.9,124.6,125,82.4,dark,normal,Counter,Night Slash,Cross Chop,fighting,dark,fighting,862,112.6,126.7,138,75.8
water,none,Water Gun,Aqua Tail,Aqua Jet,water,water,water,728,113.4,99.2,127,63.3,bug,steel,Bug Bite,Drill Run,Razor Shell,bug,ground,water,589,133.9,116.8,107,77.1
normal,flying,Quick Attack,Fly,Close Combat,normal,flying,fighting,398,140.4,90.8,124,75.4,psychic,none,Confusion,Dark Pulse,Psychic,psychic,dark,psychic,605,134.0,94.7,132,54.6
steel,none,Metal Sound,Mirror Shot,Zap Cannon,steel,steel,electric,601,124.9,140.2,102,68.2,grass,fighting,Magical Leaf,Aerial Ace,Aura Sphere,grass,flying,fighting,724,129.6,106.9,124,65.2
grass,none,Vine Whip,Power Whip,Rock Slide,grass,grass,rock,465,121.8,112.0,135,72.1,dark,ice,Ice Shard,Avalanche,Foul Play,ice,ice,dark,215,135.5,110.7,110,66.6
fighting,ice,Bubble,Ice Punch,Brick Break,water,ice,fighting,740,136.8,87.9,135,60.5,water,dark,Snarl,Night Slash,Scald,dark,dark,water,342,144.5,96.9,110,71.1
water,rock,Bubble,Power Gem,Rock Blast,ghost,ghost,rock,222,109.3,141.6,133,72.0,grass,poison,Astonish,Grass Knot,Foul Play,ghost,grass,dark,591,110.4,102.0,181,83.9
