Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Hakamo-o,"['Electric', 'Psychic']","['Water']","{'Thunder Shock': 2, 'Ice Fang': 4, 'Mud Shot': 4}","{'Water Gun': 2, 'Force Palm': 4}","{'Wild Charge': 2, 'Trailblaze': 2, 'Avalanche': 4, 'Superpower': 4, 'Dig': 4, 'Flamethrower': 4}","{'Aqua Jet': 2, 'Ice Beam': 2, 'Upper Hand': 4, 'Heavy Slam': 4}"
Raichu,[],"['Dragon', 'Fighting', 'Dark']",{},"{'Dragon Tail': 2, 'Sucker Punch': 2}",{},"{'Dragon Claw': 2, 'Brick Break': 2, 'Night Slash': 2, 'Play Rough': 2}"
Wigglytuff,"['Normal', 'Normal', 'Flying']","['Fire', 'Normal', 'Fire', 'Psychic']","{'Rollout': 1, 'Wing Attack': 1}","{'Incinerate': 3, 'Water Gun': 2}","{'Drill Run': 1, 'Rock Slide': 1, 'Air Cutter': 1, 'Aerial Ace': 1}","{'Flame Charge': 3, 'Crunch': 2, 'Surf': 2, 'Psyshock': 3}"
Dunsparce,[],"['Normal', 'Fairy', 'Grass', 'Poison', 'Fairy']",{},"{'Charm': 1, 'Vine Whip': 3, 'Fairy Wind': 2}",{},"{'Icy Wind': 1, 'Swift': 1, 'Power Whip': 3, 'Sludge Bomb': 3, 'Moonblast': 2, 'Trailblaze': 2}"
Medicham,"['Dragon', 'Rock', 'Flying', 'Normal', 'Flying', 'Poison']",['Ghost'],"{'Dragon Breath': 2, 'Rock Throw': 2, 'Air Slash': 3, 'Poison Jab': 2}",{'Hex': 2},"{'Aqua Tail': 2, 'Thunder Punch*': 2, 'Rock Slide': 2, 'Earth Power': 2, 'Sky Attack': 3, 'Hyper Beam': 3, 'Sludge Bomb': 2, 'Fell Stinger': 2}","{'Shadow Ball': 2, 'Dark Pulse': 2}"
Goodra,"['Ghost', 'Psychic', 'Dark']","['Fighting', 'Psychic']","{'Astonish': 3, 'Snarl': 4, 'Confusion': 4}","{'Psycho Cut': 2, 'Snarl': 4}","{'Night Shade': 3, 'Power Gem': 3, 'Night Slash': 4, 'Scald': 4, 'Dark Pulse': 4, 'Shadow Ball': 4}","{'Ice Punch': 2, 'Dynamic Punch': 2, 'Darkest Lariat': 4, 'Blast Burn*': 4}"
Stunfisk (Galarian),"['Fairy', 'Normal', 'Dark', 'Fighting', 'Bug', 'Water', 'Water', 'Ghost']",[],"{'Charm': 3, 'Double Kick': 3, 'Feint Attack': 2, 'Fury Cutter': 3, 'Hex': 2}",{'Bug Bite': 4},"{'Psychic Fangs': 3, 'Body Slam': 3, 'Payback': 3, 'Upper Hand': 2, 'Foul Play': 2, 'X-Scissor': 3, 'Aqua Jet': 3, 'Surf': 2, 'Shadow Ball': 2}","{'Bug Buzz': 4, 'Bulldoze': 4}"
Dachsbun,"['Ghost', 'Fire']","['Ground', 'Steel']",{'Ember': 4},{'Mud Shot': 3},"{'Energy Ball': 4, 'Flame Burst': 4}","{'Rock Slide': 3, 'Earthquake': 3}"
Talonflame,"['Poison', 'Normal', 'Flying']",[],"{'Mud Shot': 3, 'Steel Wing': 4}",{},"{'Sludge': 3, 'Ice Beam': 3, 'Sky Attack': 4, 'Night Shade': 4}",{}
Swalot,[],"['Fire', 'Flying', 'Bug', 'Dark', 'Water', 'Ghost', 'Grass']",{'Leafage': 4},"{'Incinerate*': 3, 'Sucker Punch': 3, 'Water Gun': 3, 'Astonish': 3}","{'Grass Knot': 4, 'Play Rough': 4}","{'Fly': 3, 'Brave Bird': 3, 'X-Scissor': 3, 'Trailblaze': 3, 'Cross Chop': 3, 'Liquidation': 3, 'Grass Knot': 3, 'Foul Play': 3}"
Froslass,"['Electric', 'Fire']","['Dark', 'Flying', 'Normal', 'Flying', 'Electric', 'Fire']","{'Volt Switch': 4, 'Fire Spin': 3}","{'Sucker Punch': 3, 'Steel Wing': 1, 'Thunder Shock': 1}","{'Thunder Punch': 4, 'Thunderbolt': 4, 'Crunch': 3, 'Flamethrower': 3}","{'Fly': 3, 'Brave Bird': 3, 'Sky Attack': 1, 'Night Shade': 1, 'Overheat': 1, 'Thunderbolt': 1}"
Pachirisu,"['Psychic', 'Fairy', 'Psychic', 'Water']","['Ice', 'Ghost', 'Normal']","{'Charm': 2, 'Sucker Punch': 1, 'Water Gun': 2}","{'Hex': 4, 'Charm': 3}","{'Psyshock': 2, 'Power Whip': 2, 'Psychic': 1, 'Thunderbolt': 1, 'Surf': 2, 'Crunch': 2}","{'Avalanche': 4, 'Shadow Ball': 4, 'Aqua Tail': 3, 'Thunderbolt': 3}"
Wormadam (Trash),"['Water', 'Electric', 'Fire', 'Ghost', 'Normal', 'Flying', 'Grass', 'Poison']",['Ice'],"{'Water Gun': 2, 'Incinerate': 3, 'Quick Attack': 4, 'Vine Whip': 2}",{'Ice Shard': 2},"{'Surf': 2, 'Thunderbolt': 2, 'Torch Song': 3, 'Shadow Ball': 3, 'Brave Bird': 4, 'Fly': 4, 'Power Whip': 2, 'Sludge Bomb': 2}","{'Avalanche': 2, 'Icy Wind': 2}"
Lanturn,"['Psychic', 'Electric']","['Bug', 'Steel', 'Bug', 'Electric', 'Water', 'Dark']","{'Counter': 3, 'Quick Attack': 3}","{'Bug Bite': 2, 'Fury Cutter': 2}","{'Return': 3, 'Mirror Coat': 3, 'Thunderbolt': 3, 'Grass Knot': 3}","{'Bug Buzz': 2, 'Iron Head': 2, 'Discharge': 2, 'Lunge': 2, 'Dark Pulse': 2, 'Icy Wind': 2}"
Hippopotas,"['Normal', 'Water', 'Ground']",[],"{'Rollout': 3, 'Mud Shot': 2}",{},"{'Body Slam*': 3, 'Shadow Ball': 3, 'Hydro Cannon*': 2, 'Sludge': 2}",{}
Lickilicky,"['Normal', 'Psychic']","['Ground', 'Grass', 'Dark']",{'Confusion': 2},"{'Sand Attack': 3, 'Leafage': 2}","{'Psychic Fangs': 2, 'Trailblaze': 2}","{'Rock Tomb': 3, 'Dig': 3, 'Night Slash': 2, 'Frenzy Plant*': 2}"
Nidoqueen,"['Steel', 'Rock']",['Grass'],{'Metal Sound': 2},{'Charm': 3},"{'Rock Tomb': 2, 'Body Slam': 2}","{'Petal Blizzard': 3, 'Hyper Beam': 3}"
Lairon,"['Grass', 'Dark']","['Poison', 'Ground', 'Fighting', 'Fire', 'Flying', 'Fire', 'Ghost']",{'Sucker Punch': 4},"{'Poison Sting': 2, 'Counter': 3, 'Air Slash': 2, 'Fire Spin': 2}","{'Trailblaze': 4, 'Dynamic Punch': 4}","{'Earth Power': 2, 'Poison Fang': 2, 'Superpower': 3, 'Megahorn': 3, 'Air Cutter': 2, 'Aerial Ace': 2, 'Bone Club': 2, 'Shadow Bone*': 2}"
Ninetales,"['Ghost', 'Dark']",[],{'Sucker Punch': 3},{'Confusion': 4},"{'Rock Tomb': 3, 'Shadow Ball': 3}","{'Ice Punch': 4, 'Triple Axel': 4}"
Spiritomb,[],"['Ice', 'Fairy', 'Dragon', 'Ghost', 'Water', 'Fire', 'Normal']",{'Lick': 2},"{'Powder Snow': 3, 'Astonish': 1, 'Bubble': 2, 'Incinerate': 3}","{'Swift': 2, 'Cross Chop': 2}","{'Weather Ball (Ice)': 3, 'Dazzling Gleam': 3, 'Breaking Swipe': 1, 'Shadow Ball': 1, 'Crabhammer': 2, 'X-Scissor': 2, 'Flame Charge': 3, 'Crunch': 3}"
Qwilfish,"['Rock', 'Normal']",[],"{'Lock On': 2, 'Counter': 3}",{},"{'Stone Edge': 2, 'Focus Blast': 2, 'Body Slam': 3, 'Rock Slide': 3}",{}
Regirock,"['Water', 'Grass', 'Psychic']","['Water', 'Poison', 'Water', 'Poison', 'Water', 'Dragon']","{'Charm': 3, 'Confusion': 2}","{'Poison Sting': 2, 'Acid': 2, 'Dragon Breath': 2}","{'Aqua Jet': 3, 'Disarming Voice': 3, 'Seed Bomb': 2, 'Ancient Power': 2}","{'Aqua Tail': 2, 'Ice Beam': 2, 'Scald': 2, 'Sludge Wave': 2, 'Outrage': 2, 'Octazooka': 2}"
Thievul,"['Fire', 'Ghost', 'Electric', 'Psychic', 'Grass', 'Poison']","['Ice', 'Psychic', 'Fire', 'Rock', 'Psychic', 'Grass', 'Rock']","{'Incinerate': 2, 'Thunder Shock': 2, 'Vine Whip': 1}","{'Powder Snow': 2, 'Incinerate': 3, 'Magical Leaf*': 3, 'Smack Down': 1}","{'Torch Song': 2, 'Shadow Ball': 2, 'Wild Charge': 2, 'Trailblaze': 2, 'Power Whip': 1, 'Sludge Bomb': 1}","{'Psyshock': 2, 'Ice Punch': 2, 'Rock Tomb': 3, 'Overheat': 3, 'Seed Bomb': 3, 'Leaf Storm': 3, 'Rock Slide': 1, 'Flamethrower': 1}"
Skeledirge,"['Water', 'Ice', 'Ghost', 'Grass']","['Dark', 'Grass', 'Flying', 'Bug', 'Steel', 'Fighting', 'Rock', 'Bug']","{'Ice Shard*': 3, 'Hex': 2}","{'Sucker Punch': 2, 'Magical Leaf': 2, 'Bug Bite': 3, 'Powder Snow': 4, 'Karate Chop*': 2, 'Fury Cutter': 2}","{'Icy Wind*': 3, 'Drill Run': 3, 'Shadow Ball': 2, 'Seed Bomb': 2}","{'Night Slash': 2, 'Play Rough': 2, 'Grass Knot': 2, 'Energy Ball': 4, 'Bug Buzz': 3, 'Iron Head': 3, 'Icy Wind': 4, 'Rage Fist*': 2, 'Close Combat': 2, 'Rock Blast': 2, 'Liquidation': 2}"
Ninetales (Alolan),"['Electric', 'Grass']","['Steel', 'Steel', 'Fairy', 'Dark', 'Dragon']","{'Thunder Shock': 2, 'Poison Sting': 4}","{'Metal Sound': 2, 'Fairy Wind': 3, 'Dragon Breath': 2}","{'Wild Charge': 2, 'Swift': 2, 'X-Scissor': 4, 'Drill Run*': 4}","{'Mirror Shot': 2, 'Zap Cannon': 2, 'Iron Head': 3, 'Play Rough': 3, 'Dark Pulse': 2, 'Body Slam': 2}"
Electrode (Hisuian),[],"['Ice', 'Fairy', 'Water', 'Poison', 'Rock']",{'Mud Slap': 4},"{'Powder Snow': 2, 'Poison Sting': 2, 'Smack Down': 1}","{'Shadow Punch': 4, 'Dynamic Punch': 4}","{'Weather Ball (Ice)': 2, 'Dazzling Gleam': 2, 'Wrap': 2, 'Water Pulse': 2, 'Rock Slide': 1, 'Flamethrower': 1}"
Hippowdon,"['Rock', 'Water']","['Bug', 'Fairy']",{'Fury Cutter': 3},"{'Fury Cutter': 2, 'Zen Headbutt': 3}","{'Cross Chop': 3, 'Stone Edge': 3}","{'X-Scissor': 2, 'Drill Run': 2, 'Disarming Voice': 3, 'Swift': 3}"
Barbaracle,"['Electric', 'Flying', 'Dragon', 'Ice']","['Ground', 'Flying']","{'Volt Switch': 3, 'Air Slash': 3, 'Ice Fang': 4}",{'Sand Attack': 3},"{'Discharge': 3, 'Hyper Beam': 3, 'Hurricane': 3, 'Draco Meteor': 3, 'Avalanche': 4, 'Superpower': 4}","{'Weather Ball (Rock)': 3, 'Scorching Sands': 3, 'Sky Attack': 3, 'Payback': 3}"
Serperior,"['Ice', 'Water', 'Grass']",[],"{'Powder Snow': 2, 'Rock Smash': 4}",{},"{'Surf': 2, 'Body Slam': 2, 'Rock Slide': 4, 'Seed Bomb': 4}",{}
Sealeo,['Rock'],"['Grass', 'Normal', 'Grass', 'Water']",{'Rock Throw': 4},"{'Vine Whip': 2, 'Feint Attack': 3, 'Water Gun': 3}","{'Rock Slide': 4, 'Rock Blast': 4}","{'Frenzy Plant*': 2, 'Aerial Ace': 2, 'Wild Charge': 3, 'Trailblaze': 3, 'Aqua Jet': 3, 'Crunch': 3}"
Amoonguss,"['Electric', 'Flying']","['Water', 'Poison', 'Grass', 'Flying']",{'Thunder Shock*': 3},"{'Poison Sting': 2, 'Fairy Wind': 2}","{'Drill Peck': 3, 'Thunderbolt': 3}","{'Wrap': 2, 'Water Pulse': 2, 'Aerial Ace': 2, 'Energy Ball': 2}"
Zapdos,"['Bug', 'Rock', 'Normal', 'Flying']","['Grass', 'Poison', 'Dragon', 'Ground']","{'Smack Down': 3, 'Rollout': 4, 'Wing Attack': 4}","{'Astonish': 3, 'Water Gun': 4, 'Dragon Tail': 2}","{'Rock Tomb': 3, 'X-Scissor': 3, 'Hydro Cannon*': 4, 'Skull Bash': 4, 'Brave Bird': 4, 'Aerial Ace': 4}","{'Grass Knot': 3, 'Foul Play': 3, 'Aqua Tail': 4, 'Aqua Jet': 4, 'Crunch': 2, 'Earthquake': 2}"
Klefki,"['Poison', 'Fighting', 'Water']","['Water', 'Bug', 'Steel']","{'Poison Sting': 4, 'Water Gun': 2}","{'Water Gun': 1, 'Fury Cutter': 3}","{'Dynamic Punch': 4, 'Shadow Ball': 4, 'Weather Ball (Water)': 2, 'Thunder': 2}","{'Surf': 1, 'Water Pulse': 1, 'X-Scissor': 3, 'Techno Blast (Normal)*': 3}"
Toxicroak,"['Rock', 'Steel', 'Bug', 'Steel']","['Steel', 'Fairy', 'Ghost', 'Ground', 'Rock', 'Dragon']","{'Vine Whip': 4, 'Smack Down': 3, 'Fury Cutter': 2}","{'Astonish': 3, 'Dragon Tail': 4}","{'Power Whip': 4, 'Sludge Bomb': 4, 'Stone Edge': 3, 'Flamethrower': 3, 'X-Scissor': 2, 'Techno Blast (Normal)*': 2}","{'Foul Play': 4, 'Play Rough': 4, 'Scorching Sands': 3, 'Shadow Ball': 3, 'Dragon Claw': 4, 'Ancient Power': 4}"
Dewgong,"['Fighting', 'Ground', 'Ghost', 'Water', 'Dark', 'Fire', 'Psychic', 'Flying']","['Fighting', 'Fire', 'Ghost', 'Grass', 'Poison']","{'Fury Cutter': 3, 'Shadow Claw': 3, 'Waterfall': 3, 'Fire Spin': 3, 'Air Slash': 2}","{'Poison Jab': 2, 'Incinerate': 3, 'Acid': 2}","{'Leaf Blade': 3, 'Brave Bird': 3, 'Rock Tomb': 3, 'Shadow Ball': 3, 'Crunch': 3, 'Poison Fang': 3, 'Flamethrower': 3, 'Air Cutter': 2, 'Aerial Ace': 2}","{'Brick Break': 2, 'Stone Edge': 2, 'Torch Song': 3, 'Shadow Ball': 3, 'Power Whip': 2, 'Sludge Bomb': 2}"
Farfetch'd (Galarian),[],"['Water', 'Ice', 'Water']",{},"{'Ice Shard*': 3, 'Water Gun': 3}",{},"{'Icy Wind*': 3, 'Drill Run': 3, 'Aqua Tail': 3, 'Aqua Jet': 3}"
Donphan,"['Steel', 'Rock', 'Poison', 'Dark', 'Fighting']","['Electric', 'Fairy']","{'Metal Sound': 3, 'Poison Jab': 2, 'Counter': 4}",{'Thunder Shock': 3},"{'Rock Tomb': 3, 'Body Slam': 3, 'Dark Pulse': 2, 'Acid Spray': 2, 'Ice Punch': 4, 'Thunder Punch': 4}","{'Parabolic Charge': 3, 'Play Rough': 3}"
Aron,[],['Ground'],{},{'Mud Slap': 3},{},"{'Trailblaze': 3, 'Body Slam': 3}"
Toxtricity,['Dragon'],[],{'Dragon Breath': 2},{},"{'Aqua Tail': 2, 'Wrap': 2}",{}
Dragonair,[],"['Electric', 'Poison', 'Normal', 'Flying']",{},"{'Acid': 2, 'Confusion': 4, 'Wing Attack': 2}",{},"{'Wild Charge': 2, 'Power-Up Punch': 2, 'Rock Slide': 4, 'Dark Pulse': 4, 'Sky Attack': 2, 'Night Shade': 2}"
Magnezone,"['Ice', 'Water', 'Ghost', 'Flying']","['Rock', 'Electric', 'Fire', 'Rock']","{'Powder Snow*': 2, 'Air Slash': 2}","{'Volt Switch': 2, 'Fire Fang': 3}","{'Icicle Spear*': 2, 'Earthquake': 2, 'Air Cutter': 2, 'Aerial Ace': 2}","{'Rock Tomb': 2, 'Rock Slide': 3, 'Wild Charge': 3}"
Walrein,"['Normal', 'Flying', 'Dark']","['Electric', 'Steel', 'Rock', 'Dragon', 'Psychic']","{'Mud Slap': 2, 'Sucker Punch': 3}","{'Volt Switch': 2, 'Dragon Tail': 3, 'Psywave': 2}","{'Stomp*': 2, 'Crunch': 2, 'Fly': 3, 'Rock Tomb': 3}","{'Wild Charge': 2, 'Mirror Shot': 2, 'Meteor Beam': 3, 'Crunch': 3, 'Dynamic Punch': 2, 'Shadow Ball': 2}"
Florges,"['Normal', 'Flying', 'Bug', 'Water', 'Normal']","['Dark', 'Fighting', 'Grass', 'Dark']","{'Fury Cutter': 2, 'Rollout': 2}","{'Feint Attack': 2, 'Leafage': 1}","{'Leaf Blade': 2, 'Aerial Ace': 2, 'X-Scissor': 2, 'Aqua Jet': 2, 'Drill Run': 2, 'Rock Slide': 2}","{'Upper Hand': 2, 'Foul Play': 2, 'Night Slash': 1, 'Frenzy Plant*': 1}"
Farfetch'd,['Fighting'],"['Fairy', 'Electric', 'Fighting']",{'Poison Jab': 3},"{'Fairy Wind': 2, 'Quick Attack': 3, 'Karate Chop': 2}","{'Body Slam': 3, 'Brick Break': 3}","{'Moonblast': 2, 'Trailblaze': 2, 'Thunderbolt': 3, 'Grass Knot': 3, 'Cross Chop': 2, 'Return': 2}"
Magcargo,"['Grass', 'Bug', 'Dark']",['Ice'],"{'Acid': 3, 'Fury Cutter': 2, 'Sucker Punch': 3}",{'Astonish': 3},"{'Leaf Blade': 3, 'Dazzling Gleam': 3, 'Close Combat': 2, 'X-Scissor': 2, 'Night Slash': 3, 'Play Rough': 3}","{'Avalanche*': 3, 'Flash Cannon': 3}"
Bellossom,"['Normal', 'Ground', 'Ghost']","['Fire', 'Rock', 'Normal', 'Fighting', 'Rock', 'Dark', 'Psychic']","{'Rock Throw': 4, 'Quick Attack': 3, 'Mud Slap': 4}","{'Incinerate': 3, 'Shadow Claw': 1, 'Smack Down*': 3, 'Confusion': 2, 'Fairy Wind': 4}","{'Breaking Swipe': 4, 'Stone Edge': 4, 'Body Slam*': 3, 'Dig': 3, 'Shadow Punch': 4, 'Brick Break': 4}","{'Rock Tomb': 3, 'Overheat': 3, 'Superpower': 1, 'Stomp': 1, 'Brutal Swing': 3, 'Stone Edge': 3, 'Psyshock': 2, 'Surf': 2, 'Body Slam': 4, 'Wild Charge*': 4}"
Sirfetch'd,['Psychic'],"['Fighting', 'Bug', 'Flying']",{'Shadow Claw': 2},"{'Tackle': 4, 'Bug Bite*': 3}","{'Wild Charge': 2, 'Psyshock': 2}","{'Body Slam': 4, 'Crunch': 4, 'Bug Buzz': 3, 'Signal Beam': 3}"
Mew,[],"['Fighting', 'Water', 'Psychic', 'Dark', 'Flying']",{},"{'Fury Cutter': 2, 'Bubble': 2, 'Confusion': 3, 'Sucker Punch': 3}",{},"{'Leaf Blade': 2, 'Close Combat': 2, 'Drill Peck': 2, 'Icy Wind': 2, 'Psyshock': 3, 'Energy Ball': 3, 'Fly': 3, 'Brave Bird': 3}"
Electivire,"['Bug', 'Flying', 'Normal', 'Ghost']","['Dragon', 'Flying']","{'Bug Bite': 2, 'Steel Wing': 4, 'Fury Cutter': 4, 'Shadow Claw': 3}",{'Dragon Tail': 2},"{'Dynamic Punch': 2, 'Aerial Ace': 2, 'Brave Bird': 4, 'Drill Peck': 4, 'Night Slash': 4, 'X-Scissor': 4, 'Shadow Ball': 3, 'Foul Play': 3}","{'Breaking Swipe*': 2, 'Dragon Ascent*': 2}"
Ledian,"['Rock', 'Fire']","['Electric', 'Electric', 'Flying', 'Fairy', 'Flying']","{'Mud Slap': 2, 'Fire Spin': 2}","{'Thunder Shock': 2, 'Fairy Wind': 3}","{'Superpower': 2, 'Meteor Beam*': 2, 'Flame Charge': 2, 'Flamethrower': 2}","{'Ice Punch': 2, 'Wild Charge': 2, 'Thunder Punch': 2, 'Crunch': 2, 'Psyshock': 3, 'Dazzling Gleam': 3}"
Skarmory,"['Dragon', 'Fighting', 'Ice']",['Poison'],"{'Dragon Tail': 2, 'Ice Fang': 4}",{'Poison Sting': 2},"{'Clanging Scales*': 2, 'Dragon Claw': 2, 'Ice Punch': 4, 'Ice Beam': 4}","{'Poison Fang': 2, 'Thunderbolt': 2}"
Kommo-o,"['Fire', 'Psychic']","['Steel', 'Flying']","{'Ember': 3, 'Confusion': 2}",{'Steel Wing': 2},"{'Fire Punch': 3, 'Return': 3, 'Psyshock': 2, 'Dazzling Gleam': 2}","{'Brave Bird': 2, 'Sky Attack': 2}"
Dragonite,"['Fire']","['Ghost', 'Fire']","{'Ember': 3, 'Ice Fang': 4}",{'Incinerate': 2},"{'Weather Ball (Fire)': 3, 'Solar Beam': 3, 'Avalanche': 4, 'Dragon Claw': 4}","{'Flame Charge': 2, 'Shadow Ball': 2}"
Castform (Sunny),"['Electric', 'Grass']","['Dragon', 'Flying', 'Dark', 'Flying', 'Dark', 'Normal', 'Bug']","{'Quick Attack': 3, 'Bullet Seed': 2}","{'Dragon Breath': 3, 'Feint Attack': 2, 'Quick Attack': 2, 'Fury Cutter': 1}","{'Thunderbolt': 3, 'Grass Knot': 3, 'Sludge Bomb': 2, 'Leaf Storm': 2}","{'Dragon Claw': 3, 'Superpower': 3, 'Drill Peck': 2, 'Foul Play': 2, 'Crunch': 2, 'Return': 2, 'X-Scissor': 1, 'Aerial Ace': 1}"
Genesect,"['Dark', 'Dragon', 'Steel', 'Fairy', 'Dragon', 'Ground']","['Normal', 'Grass', 'Poison', 'Fighting']","{'Dragon Breath': 2, 'Astonish': 3, 'Fury Cutter': 4, 'Dragon Tail': 3}","{'Feint Attack': 3, 'Poison Sting': 2}","{'Dark Pulse': 2, 'Body Slam': 2, 'Foul Play': 3, 'Play Rough': 3, 'X-Scissor': 4, 'Aerial Ace': 4, 'Crunch': 3, 'Earthquake': 3}","{'Wild Charge': 3, 'Trailblaze': 3, 'Dynamic Punch': 2, 'Shadow Ball': 2}"
Zweilous,"['Flying', 'Steel', 'Psychic', 'Ice', 'Fairy', 'Water', 'Rock']","['Bug', 'Steel']","{'Sand Attack': 3, 'Charge Beam': 3, 'Powder Snow': 2, 'Fury Cutter*': 4, 'Water Gun': 3}",{'Fury Cutter': 2},"{'Sky Attack': 3, 'Iron Head*': 3, 'Psyshock': 3, 'Dazzling Gleam': 2, 'Weather Ball (Ice)': 2, 'Sand Tomb': 4, 'Earth Power': 4, 'Liquidation': 3, 'Ancient Power': 3}","{'X-Scissor': 2, 'Techno Blast (Normal)*': 2}"
Arctibax,"['Bug', 'Electric', 'Water', 'Rock']","['Bug', 'Poison']","{'Volt Switch*': 1, 'Water Gun': 1}",{'Psywave': 3},"{'X-Scissor': 1, 'Discharge': 1, 'Liquidation': 1, 'Ancient Power': 1}","{'Poison Fang': 3, 'Bug Buzz': 3}"
Charjabug,"['Water', 'Rock']","['Dragon', 'Ice', 'Water', 'Fighting']","{'Water Gun': 2, 'Rock Throw': 4}","{'Dragon Breath': 1, 'Wing Attack': 2}","{'Weather Ball (Water)': 2, 'Thunder': 2, 'Rock Slide': 4, 'Rock Blast': 4}","{'Avalanche': 1, 'Dragon Claw': 1, 'Close Combat': 2, 'Aqua Jet': 2}"
Urshifu (Single Strike),"['Dark', 'Poison', 'Fire', 'Psychic']","['Steel', 'Electric']","{'Poison Sting': 1, 'Karate Chop': 2, 'Confusion': 1}","{'Shadow Claw': 4, 'Quick Attack': 3}","{'Aqua Tail': 1, 'Shadow Ball': 1, 'Fire Punch': 2, 'Thunderbolt*': 2, 'Swift': 1, 'Future Sight': 1}","{'Close Combat': 4, 'Trailblaze': 4, 'Thunderbolt': 3, 'Grass Knot': 3}"
Qwilfish (Hisuian),"['Bug', 'Rock']","['Fighting', 'Dark', 'Ice', 'Ground', 'Ice']","{'Fury Cutter': 2, 'Snarl': 4}","{'Sucker Punch': 1, 'Powder Snow': 2, 'Quick Attack': 4}","{'X-Scissor': 2, 'Rock Slide': 2, 'Dark Pulse': 4, 'Aerial Ace': 4}","{'Brick Break': 1, 'Dynamic Punch': 1, 'Icicle Spear': 2, 'High Horsepower': 2, 'Avalanche': 2, 'Body Slam': 2, 'Ancient Power': 4, 'Dragon Claw': 4}"
Chesnaught,"['Grass', 'Grass', 'Poison', 'Flying', 'Grass', 'Ghost']","['Bug', 'Fire', 'Flying']","{'Vine Whip': 3, 'Rock Smash': 3, 'Wing Attack': 2, 'Hex': 2}","{'Fury Cutter': 3, 'Ember': 2}","{'Leaf Blade': 3, 'Brick Break': 3, 'Rock Slide': 3, 'Seed Bomb': 3, 'Poison Fang': 2, 'Shadow Ball': 2, 'Grass Knot': 3, 'Wrap': 3, 'Dark Pulse': 2}","{'Close Combat': 3, 'X-Scissor': 3, 'Fly': 2, 'Aerial Ace': 2}"
Gogoat,"['Rock', 'Grass', 'Ice', 'Ghost']","['Grass', 'Fighting', 'Fighting']","{'Acid': 1, 'Ice Fang': 2, 'Astonish': 3}","{'Vine Whip': 3, 'Water Gun': 4, 'Poison Jab': 2}","{'Ancient Power': 1, 'Grass Knot': 1, 'Ice Punch': 2, 'Ice Beam': 2, 'Night Shade': 3, 'Power Gem': 3}","{'Frenzy Plant*': 3, 'Superpower': 3, 'Aqua Jet': 4, 'Crunch': 4, 'Brick Break': 2, 'Stone Edge': 2}"
Venusaur,"['Normal', 'Normal']","['Bug', 'Steel', 'Normal', 'Flying', 'Normal', 'Flying']","{'Shadow Claw': 2, 'Counter': 4}","{'Bug Bite': 3, 'Wing Attack': 3}","{'Swift': 2, 'Close Combat': 4, 'Stone Edge': 4, 'Psychic Fangs': 4, 'Grass Knot': 2}","{'Drill Run': 3, 'Razor Shell*': 3, 'Air Cutter': 3, 'Aerial Ace': 3}"
Ursaring,[],"['Grass', 'Poison', 'Steel', 'Ground']",{'Sand Attack': 4},"{'Vine Whip': 4, 'Thunder Fang': 3}","{'Dig': 4, 'Thunderbolt': 4}","{'Frenzy Plant*': 4, 'Sludge Bomb': 4, 'Psychic Fangs': 3, 'Breaking Swipe': 3}"
Gourgeist (Super),"['Water', 'Ground', 'Dark', 'Normal', 'Bug', 'Poison']","['Ghost', 'Bug', 'Flying', 'Fire', 'Ghost']","{'Mud Shot': 3, 'Counter': 2, 'Psywave': 3}","{'Astonish': 1, 'Quick Attack': 1, 'Incinerate': 2}","{'Mud Bomb': 3, 'Surf': 3, 'Night Slash': 2, 'Cross Chop': 2, 'Poison Fang': 3, 'Bug Buzz': 3}","{'Night Shade': 1, 'Power Gem': 1, 'Aerial Ace': 1, 'Silver Wind': 1, 'Torch Song': 2, 'Shadow Ball': 2}"
Marshtomp,"['Fighting', 'Water', 'Ghost']","['Ghost', 'Grass']","{'Counter': 3, 'Astonish': 3}",{'Hex': 3},"{'Aqua Jet': 3, 'Dynamic Punch': 3, 'Night Shade': 3, 'Power Gem': 3}","{'Shadow Ball': 3, 'Seed Bomb': 3}"
Meganium,"['Dark']",[],"{'Snarl': 4, 'Thunder Shock': 4}",{},"{'Dark Pulse': 4, 'Last Resort*': 4, 'Thunderbolt': 4, 'Ominous Wind': 4}",{}
Umbreon,"['Grass', 'Bug', 'Flying', 'Fire', 'Normal']","['Grass', 'Fighting']","{'Tackle': 1, 'Fury Cutter': 1, 'Incinerate': 1}","{'Vine Whip': 4, 'Karate Chop': 3}","{'Body Slam': 1, 'Seed Bomb': 1, 'X-Scissor': 1, 'Power Gem': 1, 'Flame Charge': 1, 'Crunch': 1}","{'Frenzy Plant*': 4, 'Earthquake': 4, 'Cross Chop': 3, 'Return': 3}"
Glalie,"['Ice', 'Ground', 'Fire', 'Water']","['Rock']","{'Powder Snow': 4, 'Incinerate': 2}","{'Poison Jab': 4, 'Mud Slap': 3}","{'Icicle Spear': 4, 'High Horsepower': 4, 'Sludge Bomb': 2, 'Overheat': 2}","{'Close Combat': 4, 'Aerial Ace': 4, 'Superpower': 3, 'Meteor Beam*': 3}"
